"","Article","Item","Category 1","Category 2","Category 3"
"10","Malek, Umberger, Makrides & ShaoJia (2017/09/01/)","In general, I am someone who is concerned about the health consequences of what I eat ","concernedAbout","concernedAbout","concernedAbout"
"11","Malek, Umberger, Makrides & ShaoJia (2017/09/01/)"," I am someone who is concerned with ‘healthy eating’ in general","concernedAbout","concernedAbout","concernedAbout"
"15","Carfora, Caso & Conner (2016/11/01/)"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat …","concernedAbout","concernedAbout","concernedAbout"
"20","Chatzidakis, Kastanakis & Stathopoulou (2016/01//)"," ‘‘I think of myself as someone who is concerned about ethical issues in consumption’’. ","concernedAbout","concernedAbout","concernedAbout"
"27","Peluso (2015/07//)","‘I think of myself as someone who is concerned aboutethical issues’ ","concernedAbout","concernedAbout","concernedAbout"
"30","Cheng & Chu (2014/09//)"," I am concerned with ethical issues","concernedAbout","concernedAbout","concernedAbout"
"42","Dowd & Burke (2013/10/01/)","I think of myself as someone who is concerned about ethical issues ","concernedAbout","concernedAbout","concernedAbout"
"76","Dean, Raats & Shepherd (2012/03//)"," “I think of myself as someone who is concerned with green issues”","concernedAbout","concernedAbout","concernedAbout"
"97","Whitmarsh & O'Neill (2010/09//)"," ‘I think of myself as someone who is very concerned with environmental issues ","concernedAbout","concernedAbout","concernedAbout"
"99","Whitmarsh & O'Neill (2010/09//)"," ‘I would not want my family or friends to think of me as someone who is concerned about environmental issues’","concernedAbout","concernedAbout","concernedAbout"
"168","Armitage & Conner (2001/07//)"," “How concerned are you about donating blood? ” ","concernedAbout","concernedAbout","concernedAbout"
"191","Armitage & Conner (1999/07//Jul-Aug, 1999)"," `I think of myself as someone who is concerned with healthy eating' ","concernedAbout","concernedAbout","concernedAbout"
"192","Armitage & Conner (1999/07//Jul-Aug, 1999)"," `I think of myself as someone who is concerned with the health consequences of what I eat' ","concernedAbout","concernedAbout","concernedAbout"
"199","Armitage, Conner & Norman (1999/06//)"," `I think of myself as someone who is concerned with ``healthy eating''' ","concernedAbout","concernedAbout","concernedAbout"
"200","Armitage, Conner & Norman (1999/06//)"," `I think of myself as someone who is concerned about the health consequences of what I eat' ","concernedAbout","concernedAbout","concernedAbout"
"203","Armitage & Conner (1999/03//)"," `I thinkof myself as someone who is concerned with healthy eating’ ","concernedAbout","concernedAbout","concernedAbout"
"204","Armitage & Conner (1999/03//)"," ` I think of myself as someone who is concerned with the health consequences of what I eat’ ","concernedAbout","concernedAbout","concernedAbout"
"207","Armitage & Conner (1999/01//)"," “I think of myself as someone who is concerned with healthy. eating”; ","concernedAbout","concernedAbout","concernedAbout"
"208","Armitage & Conner (1999/01//)"," “I think of myself as someone who is concerned with the health consequences of what I eat” ","concernedAbout","concernedAbout","concernedAbout"
"211","Sparks & Guthrie (1998/08//)","“I think of myself as the sort of person who is concerned about the long-term health effects of my food choices” ","concernedAbout","concernedAbout","concernedAbout"
"214","Sparks, Shepherd, Wieringa & Zimmermanns (1995/06//)","""I think of myself as someone who is concerned about the health consequences of what I eat"" ","concernedAbout","concernedAbout","concernedAbout"
"226","Sparks & Shepherd (1992/12//)"," I think of myself as someone who is very concerned with 'green issues","concernedAbout","concernedAbout","concernedAbout"
"239","Kiefer (2008)","I think of myself as someone who is very concerned with dietary supplement use ","concernedAbout","concernedAbout","concernedAbout"
"240","Kiefer (2008)"," I think of myself as the sort of person who is concerned about the long-term effects of supplement use ","concernedAbout","concernedAbout","concernedAbout"
"253","Puntoni (2001)"," ""I think of myself as a person who is very concerned with the care of his clothes"" ","concernedAbout","concernedAbout","concernedAbout"
"283","Wang & Wang (2016)"," “I think of myself as someone who is very concerned with environmental issues in dining”","concernedAbout","concernedAbout","concernedAbout"
"290","Carfora (2016)"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat","concernedAbout","concernedAbout","concernedAbout"
"306","Yazdanpanah, Hayati & Zamani (2011)"," “I think of myself as someone who is very concerned about water issues"" ","concernedAbout","concernedAbout","concernedAbout"
"337","Dennis, Buchholtz & Butts (2009)"," I am very concerned with philanthropy. ","concernedAbout","concernedAbout","concernedAbout"
"344","Jebarajakirthy & Lobo (2014)","I think of myself as a person who is concerned about using microcredits ","concernedAbout","concernedAbout","concernedAbout"
"18","Wan, Schonfeld & Li (2016/10//)"," ‘‘I see myself as a safe metro passenger”","considerMyself","considerMyself","considerMyself"
"60","Chorlton, Conner & Jamson (2012/11//)","‘I see myself as a safe motorcyclist’","considerMyself","considerMyself","considerMyself"
"63","de Bruijn, Verkooijen, de Vries & van den Putte (2012/11//)"," whether they saw themselves as someone who engaged in sufficient exercise ","considerMyself","considerMyself","considerMyself"
"69","Gardner, de Bruijn & Lally (2012/09//)"," I see myself as a person who...(...drink[ing] more than 8 units on one occasion...) ","considerMyself","considerMyself","considerMyself"
"73","de Bruijn & van den Putte (2012/07//)"," ‘‘I see myself as someone who engages in sufficient exercise’’ ","considerMyself","considerMyself","considerMyself"
"81","Hassandra, Vlachopoulos, Kosmidou, Hatzigeorgiadis, Goudas & Theodorakis (2011/09//)"," ‘I see myself as a person who smokes’ ","considerMyself","considerMyself","considerMyself"
"94","Høie, Moan & Rise (2010/10//)","I consider myself as a person who smokes ","considerMyself","considerMyself","considerMyself"
"126","Smith, Terry, Manstead, Louis, Kotterman & Wolfs (2008/06//)","“I consider myself a typical buyer of my preferred soft drink” ","considerMyself","considerMyself","considerMyself"
"127","Smith, Terry, Manstead, Louis, Kotterman & Wolfs (2008/06//)"," “I see myself as a typical buyer of my preferred soft drink.”","considerMyself","considerMyself","considerMyself"
"129","Smith, Terry, Manstead, Louis, Kotterman & Wolfs (2007/11//)","“I consider myself as a typical buyer of my preferred beer” ","considerMyself","considerMyself","considerMyself"
"130","Smith, Terry, Manstead, Louis, Kotterman & Wolfs (2007/11//)"," “I see myself as a typical buyer of my preferred beer”).","considerMyself","considerMyself","considerMyself"
"189","Conner, Warren, Close & Sparks (1999/08//)"," “Would you class yourself as . . . a nondrinker, a light drinker, a moderate drinker, or a heavy drinker?”","considerMyself","considerMyself","considerMyself"
"210","Evans & Norman (1998/12//)","'Generally, do you consider yourself to be a 'safety conscious' pedestrian'","considerMyself","considerMyself","considerMyself"
"237","Brouwer & Mosack (2015)","“I see myself to be a healthy eater” ","considerMyself","considerMyself","considerMyself"
"248","Kiefer (2008)"," I consider myself a typical user of dietary supplements ","considerMyself","considerMyself","considerMyself"
"249","Kiefer (2008)"," I see myself as a typical user of dietary supplements","considerMyself","considerMyself","considerMyself"
"275","Jackson, Smith & Conner (2003)","‘I see myself as sporty’ ","considerMyself","considerMyself","considerMyself"
"276","Jackson, Smith & Conner (2003)"," ‘I see myself as fit and healthy’ ","considerMyself","considerMyself","considerMyself"
"277","Jackson, Smith & Conner (2003)"," ‘I see myself as a physically active person’ ","considerMyself","considerMyself","considerMyself"
"294","Pakpour, Zeidi, Emamjomeh, Asefzadeh & Pearson (2014)","“I consider myself an energy-saver”","considerMyself","considerMyself","considerMyself"
"311","JENKINS (2015)","“I see myself to be a healthy/fruit/vegetable eater.” ","considerMyself","considerMyself","considerMyself"
"339","Alselaimi (2010)","“I see myself as sporty person who participates in sport at least 30 minutes 3 times per week over the next five weeks during leisure time” ","considerMyself","considerMyself","considerMyself"
"342","Alselaimi (2010)"," “I see myself as a physically active person who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","considerMyself","considerMyself","considerMyself"
"24","Obschonka, Silbereisen, Cantner & Goethner (2015/12//)","“The idea of participating in the [target behavior] to commercialize my research…” Item 3: “…fits well into the image that I have of myself and my scientific work”","image","selfAs","considerMyself"
"35","Oh & Yoon (2014/05//)"," My consumption is identical with my image. ","image","selfAs","considerMyself"
"1","Haydon, Obst & Lewis (2018/01//)","“I think of myself as a drinker.”","selfAs","selfAs","considerMyself"
