"","operationalisation","bibtexkey","author","title","year"
"16"," study 2 ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016"
"17"," 3 items ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016"
"21"," reference ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016"
"30","‘‘The idea of participating in the [target behavior] to commercialize my research…’’ ","2014-50754-00120151201","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015"
"40",NA,"2013-44183-00120140901","Momin, Shabnam R. and Chung, Kimberly R. and Olson, Beth H.","A qualitative study to understand positive and negative child feeding behaviors of immigrant Asian Indian mothers in the US.","2014"
"55",NA,"2013-99140-49720130101","Brouwer, Amanda M.","Motivating healthy diet behaviors: The self-as-doer identity.","2013"
"56",NA,"2013-99040-00520130101","Hoang, Thu Gia","Reconceptualizing organizational commitment using the theory of reasoned action: Testing antecedents of multiple organizational behaviors.","2013"
"62","Behavior: in which respondents were asked to indicate whether engaging in sufficient exercise was something: ","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012"
"70"," ( . . . drink[ing] more than 8 units on one occasion . . . ) ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012"
"88",NA,"2011-14519-06020110901","Park, Namkee and Jung, Younbo and Lee, Kwan Min","Intention to upload video content on the internet: The role of social norms and ego-involvement.","2011"
"92"," enjoying eating, ","2011-07880-00520110501","Jenkins, Catherine M. and McKenzie, Karen","The application of the theory of planned behaviour to diet in carers of people with an intellectual disability.","2011"
"95",NA,"2011-06493-00220110401","Lee, Jongwon and Jezewski, Mary Ann and Wu, Yow-Wu Bill and Carvallo, Mauricio","The relationship between acculturation and oral contraceptive use among Korean immigrant women.","2011"
"96","only reviews articles","2011-23183-00420110301","Nyman, Samuel R.","Psychosocial issues in engaging older people with physical activity interventions for the prevention of falls.","2011"
"97","article not found","2011-99030-56520110101","Sanchez, Wen Chien","The influence of consumer knowledge on willingness to pay for non-genetically modified foods in Taiwan: A structural equation model.","2011"
"98",NA,"2011-99060-19020110101","Al-Otaiba, Zayed","Implicit and explicit predictors of smoking cessation behavior.","2011"
"107"," no reference, 3 items, only 1 mentioned","2010-14682-00520100801","Burger, Christoph and Riemer, Valentin and Grafeneder, Jürgen and Woisetschläger, Bianca and Vidovic, Dragana and Hergovich, Andreas","Reaching the mobile respondent: Determinants of high-level mobile phone use among a high-coverage group.","2010"
