"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"9","concernedAbout"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat … strongly agree e strongly disagree’’","2016-00125-00120161101","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016","concernedAbout"
"28","concernedAbout"," ‘‘I think of myself as someone who is concerned about ethical issues in consumption’’. (‘‘strongly disagree/ strongly agree’’) ","2014-38020-00120160101","Chatzidakis, Andreas and Kastanakis, Minas and Stathopoulou, Anastasia","Socio-cognitive determinants of consumers’ support for the fair trade movement.","2016","concernedAbout"
"33","concernedAbout","‘I think of myself as someone who is concerned aboutethical issues’ ","2015-25228-00320150701","Peluso, Alessandro M.","Psychological drivers in the adoption of morally controversial innovations: The moderating role of ethical self-identity.","2015","concernedAbout"
"36","concernedAbout"," I am concerned with ethical issues","2013-29017-00120140901","Cheng, Pi-Yueh and Chu, Mei-Chin","Behavioral factors affecting students’ intentions to enroll in business ethics courses: A comparison of the theory of planned behavior and social cognitive theory using self-identity as a moderator.","2014","concernedAbout"
"48","concernedAbout","I think of myself as someone who is concerned about ethical issues ","2013-26519-01920131001","Dowd, Kylie and Burke, Karena J.","The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods.","2013","concernedAbout"
"77","concernedAbout"," “I think of myself as someone who is concerned with green issues”","2012-07263-00620120301","Dean, Moira and Raats, Monique M. and Shepherd, Richard","The role of self-identity, past behavior, and their interaction in predicting intention to purchase fresh and processed organic food.","2012","concernedAbout"
"90","concernedAbout"," concerned with healthy eating, ","2011-07880-00520110501","Jenkins, Catherine M. and McKenzie, Karen","The application of the theory of planned behaviour to diet in carers of people with an intellectual disability.","2011","concernedAbout"
"91","concernedAbout"," concerned about health consequences of eating.","2011-07880-00520110501","Jenkins, Catherine M. and McKenzie, Karen","The application of the theory of planned behaviour to diet in carers of people with an intellectual disability.","2011","concernedAbout"
"98","concernedAbout"," ‘I think of myself as someone who is very concerned with environmental issues ","2010-03425-00120100901","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010","concernedAbout"
"100","concernedAbout"," ‘I would not want my family or friends to think of me as someone who is concerned about environmental issues’","2010-03425-00120100901","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010","concernedAbout"
"154","concernedAbout"," “How concerned are you about donat- ing blood? ” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","concernedAbout"
"182","concernedAbout"," `I think of myself as someone who is concerned with healthy eating' ","1999-11412-00219990701","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999","concernedAbout"
"183","concernedAbout"," `I think of myself as someone who is concerned with the health consequences of what I eat' ","1999-11412-00219990701","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999","concernedAbout"
"190","concernedAbout"," `I think of myself as someone who is concerned with ``healthy eating''' ","1999-05235-00119990601","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999","concernedAbout"
"191","concernedAbout"," `I think of myself as someone who is concerned about the health consequences of what I eat' ","1999-05235-00119990601","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999","concernedAbout"
"194","concernedAbout"," `I thinkof myself as someone who is concerned with healthy eating’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","concernedAbout"
"195","concernedAbout"," ` I think of myself as someone who isconcerned with the health consequences of what I eat’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","concernedAbout"
"198","concernedAbout"," “I think of myself as someone who is concerned with healthy. eating”; ","1999-08085-00419990101","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999","concernedAbout"
"199","concernedAbout"," “I think of myself as someone who is concerned with the health consequences of what I eat” ","1999-08085-00419990101","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999","concernedAbout"
